"annual_sales_usd","sales_role","branch","client_calls_week","meetings_week","emails_week","avg_call_minutes","lead_quality","crm_minutes_day","coffee_cups_day","distractions_minutes_day","morale_score"
142316.789188194,"Outside Sales","Albany",42.6701505802886,2.64200765718815,22.7023435789338,3.69743256792028,65.1909131204995,26.5077225375806,2.11688639062208,63.4142727239778,7.28625764687325
156080.534878527,"Outside Sales","Stamford",48.2185314598263,1.97956486554066,22.8984682429543,5.28161483198877,74.194993176596,62.0559355479607,3.22721174122251,37.4673732677651,3.74408540955692
153141.095952886,"Inside Sales","Scranton",40.8116401751495,1.84380975257422,17.8998324790509,6.04887608442777,65.4045734508275,67.416294827323,3.07449955202889,38.9417499039043,4.42975022918757
165189.908314006,"Inside Sales","Utica",38.4998971708009,3.36830453815896,32.396902244826,5.02440658779324,51.3097601224909,54.0526930642347,2.85713152021007,9.71203647286736,5.71681241120736
176675.964492832,"Outside Sales","Scranton",52.0890754100036,3.31712482651407,10.4674217584936,8.3699829875285,41.5693531716187,27.8897569276645,3.93091795365536,57.3147935515618,6.86241371618658
189512.624490544,"Inside Sales","Stamford",44.4694768953246,3.1019988256016,11.6521903358222,6.4469774623001,63.4621442329713,36.0377830261412,2.17606920936195,24.0008003798648,4.47635731613402
156858.288340089,"Inside Sales","Utica",43.7089313997183,2.37329505840243,19.3080937969912,4.87397044567557,51.2112548484326,17.0811440200697,1.80778388535484,28.6816391964205,7.14404484376398
214390.344091241,"Outside Sales","Utica",47.5931602055259,3.23733446765371,23.1772731714795,5.38069513223551,63.8958005120682,63.9918940801142,2.77047774095148,38.0853291773116,7.12860885636118
159080.051821643,"Inside Sales","Utica",41.0769969882375,0.840135846955833,14.0137449933481,4.46188357945545,64.0706622803258,39.816271047,2.09857338067655,30.4557936847441,8.11462868729065
173344.192329137,"Outside Sales","Utica",66.2903042649049,1.0379734459279,29.1879460481722,5.428428820825,45.8915287570487,52.5678673306739,1.52786645295377,52.5263868987037,7.68945872559879
180082.384007395,"Inside Sales","Stamford",41.1495574926713,3.57516744230751,19.7149145247721,7.94418568625087,55.3863305183695,40.8859419767339,1.02076413930732,19.1113917100626,7.4229647643126
135837.088886469,"Outside Sales","Albany",47.6600190726023,1.95311931585263,14.0271494767444,4.67190158295312,47.8977364001648,32.1531418961137,2.5377773141445,28.5507031778375,7.33759944101172
202764.8416118,"Inside Sales","Utica",46.2479408524515,2.68716645831016,14.9350793060631,7.18621547233954,85.0510562854473,34.7646159652641,4.00375489920785,70.0571387090596,9.03347424244976
198360.513688116,"Outside Sales","Scranton",44.4589121326663,4.22820673797694,15.6360682120924,5.79381858981578,72.5328274711859,48.4793515703978,3.25704700038085,49.9408164917603,7.6062320078295
182173.475207073,"Inside Sales","Utica",47.4993652677223,1.9887363059525,24.6790787566076,3.56679976282234,56.9946491808767,38.8423177797864,3.35996189719048,30.9546836960565,7.5087718001794
163492.860239759,"Inside Sales","Stamford",41.1553297952384,1.35636320502001,14.6635453109195,4.94349229328613,77.6420624524554,46.1793032354603,3.2767492978631,37.3066792315751,4.36174974013503
140506.889613874,"Inside Sales","Stamford",20.5756536809849,0,22.082710513885,3.54313349564456,69.8949606614654,36.7915979766841,1.44651174883044,21.9159158609449,7.82178026008785
150181.387175537,"Inside Sales","Scranton",30.7933225302415,2.21370325430765,12.995771355727,9.22263953065191,58.0035885302628,41.6588035551375,1.39083906981062,64.3174940235487,6.37082110043513
203872.80822666,"Inside Sales","Scranton",59.086456239178,2.21503063949281,21.9867893958441,6.6000333174084,55.9387044397511,72.8525541246034,3.23469023921134,30.3360914317318,6.11801805944204
175830.25319834,"Inside Sales","Stamford",55.2879055052109,3.35615785571838,23.095315182109,6.42898648693514,48.9727880725252,47.4839191562455,2.35054863625212,20.311382913357,5.6216134214749
157467.106984088,"Inside Sales","Utica",37.014152240478,1.86946564917984,30.88278013913,6.2231164663695,65.6522158265151,50.4077756383576,1.53939110597309,26.5212595755896,7.33004201944302
179158.757607464,"Inside Sales","Scranton",15.3846129229521,2.09999198349199,21.2421552718645,6.58813826898884,56.1768554354444,48.9895158249826,1.7650553285157,20.053090253906,9.44354889211801
169010.784675278,"Inside Sales","Scranton",31.1633873024382,2.26483297491644,27.5558717118569,5.73357917944403,63.3909575988415,50.3377438664974,2.12119976506544,34.3885577483353,8.13550843213906
165612.567488812,"Inside Sales","Scranton",24.4508342346485,2.7423627158462,9.76805327876007,5.56971585454092,74.4995198888694,61.897344311211,4.31879562571373,26.3713695104482,6.66143257237922
169388.664278832,"Inside Sales","Utica",22.8957886247703,3.03358592284981,24.2875694448397,4.78276404578203,74.6414591039026,54.5663007262447,1.45155006138097,49.335295020437,7.88088014556796
181190.569484326,"Inside Sales","Albany",46.5508876371509,1.71272886303637,21.8047521217099,5.91437526024389,62.4909702583616,19.8354642096323,3.04041442966733,37.1568445173406,7.32321290251183
178243.578592953,"Inside Sales","Utica",39.1245823398708,2.68387729879714,31.3697704513265,6.03551763770897,60.0652932959803,59.6704906070148,2.49042112624914,13.5188927331544,7.38838265158223
179403.714351806,"Inside Sales","Scranton",50.9455277487256,2.75221198576998,11.7413290979974,4.664744760399,79.4187656856063,38.8790209508739,4.51088928670062,61.5107913695581,5.10102193580219
159983.339462808,"Inside Sales","Albany",26.0718390560425,2.47204359899494,27.3523384374561,6.43185639022646,51.5800247974213,53.7745613895827,1.37893730666952,51.9405734673845,6.48788823454272
